เลขบัญชี,ชื่อบัญชี,รหัสลูกค้า,จำนวน,ปริมาณ,เลขที่เอกสาร,code,ชื่อผู้ขาย,รายละเอียด,รหัส,ชื่อ,เลขที่ใบกำกับ,codeid,วันที่,comment,predpt_name,vchno,vchdate,costcode,DR_amt,CR_amt
5100001,ค่าผลิตและค่าอุปกรณ์,A5102021,2,-4690.0,QT21120022,2329.0,บริษัท ทรี แอดเวอร์ไทซิ่ง แอนด์ โปรดักชั่น จำกัด  ,,2021A51,,,,,,KOE Tipco 1-20 Jan 22,APO2022010105,44581,C100008,93.46,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5102021,2,-200.0,QT21120022,2329.0,บริษัท ทรี แอดเวอร์ไทซิ่ง แอนด์ โปรดักชั่น จำกัด  ,,2021A51,,,,,,KOE Tipco 1-20 Jan 22,APO2022010106,44581,C100008,129.91,0
5100001,ค่าผลิตและค่าอุปกรณ์,202022,9,214.95,QT21050060.7,2165.0,คุณ ภัทร์ รุจิรัตนากุล, ,2022002,คุณ ภัทร์ รุจิรัตนากุล,OF220100108,2165.0,18-01-22,,Eucerin Logistic Retail [Jan 2022],APV2022010009,44584,C100008,68,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,3677.0,QT21110056.1,1405.0,คุณ อภิรดี น้าวแสง, ,2021A54,คุณ อภิรดี น้าวแสง,OF220100096,1405.0,20-01-22,,Eucerin Logistic Hospital [Jan 2022],APV2022010010,44584,C100008,135,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,518.69,QT21110056.1,1405.0,คุณ อภิรดี น้าวแสง, ,2021A54,คุณ อภิรดี น้าวแสง,OF220100096,1405.0,20-01-22,,Maybelline Logistic @ Watsons (Jan),APV2022010019,44584,C100008,2286.96,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,45.79,QT21110056.1,1405.0,คุณ อภิรดี น้าวแสง, ,2021A54,คุณ อภิรดี น้าวแสง,OF220100096,1405.0,20-01-22,,Cockpit Owner-Activity Support 20 Stores (Jan 22),APS2022010079,44586,C100008,66000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,172.9,QT21110056.1,1405.0,คุณ อภิรดี น้าวแสง, ,2021A54,คุณ อภิรดี น้าวแสง,OF220100096,1405.0,20-01-22,,dtac Premium shop decoration & special activity Decorate Additional,APO2022010235,44589,C100008,259.81,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,39.35,QT21110056.1,1405.0,คุณ อภิรดี น้าวแสง, ,2021A54,คุณ อภิรดี น้าวแสง,OF220100096,1405.0,20-01-22,,KOE Tipco 21 Jan - 20 Feb 22,APO2022010290,44592,C100008,816,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,83.18,QT21110056.1,1405.0,คุณ อภิรดี น้าวแสง, ,2021A54,คุณ อภิรดี น้าวแสง,OF220100096,1405.0,20-01-22,,Cockpit Owner-Activity Support 20 Stores (Jan 22),APS2022010092,44592,C100008,44000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,23.36,QT21110056.1,1405.0,คุณ อภิรดี น้าวแสง, ,2021A54,คุณ อภิรดี น้าวแสง,OF220100096,1405.0,20-01-22,,P&G Vick Roadshow 2022 [ Additional Cost],APS2022010098,44592,C100008,160,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,93.46,QT21110056.1,1405.0,คุณ อภิรดี น้าวแสง, ,2021A54,คุณ อภิรดี น้าวแสง,OF220100096,1405.0,20-01-22,,P&G Vick Roadshow 2022 [ Jan - Mar 2022],APS2022010102,44592,C100008,3040,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,23.36,QT21110056.1,1405.0,คุณ อภิรดี น้าวแสง, ,2021A54,คุณ อภิรดี น้าวแสง,OF220100096,1405.0,20-01-22,,Cockpit Owner Leaflet  10 Locations,JV2022010031,44592,C100008,9775,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,152.34,QT21110056.1,1405.0,คุณ อภิรดี น้าวแสง, ,2021A54,คุณ อภิรดี น้าวแสง,OF220100096,1405.0,20-01-22,,Graphic-Operation Cost (Oral-B) on Feb 2022,JV2022020014,44593,C100008,25000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,307.48,QT21110056.1,1405.0,คุณ อภิรดี น้าวแสง, ,2021A54,คุณ อภิรดี น้าวแสง,OF220100096,1405.0,20-01-22,,GSK Kick Off 2022,APV2022020006,44596,C100008,6162.5,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,4645.0,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,Singha Booth Activation on Feb 22,APS2022020030,44606,C100008,2000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,785.05,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,Danone National Convention ,APO2022020158,44607,C100006,943.92,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,943.93,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,Danone National Convention ,APO2022020158,44607,C100006,743.93,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,260.75,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,KOE Tipco 21 Jan - 20 Feb 22,APO2022020281,44612,C100008,164.49,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,29.91,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,KOE Tipco 21 Jan - 20 Feb 22,APO2022020282,44612,C100008,336.45,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,29.91,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,KOE Tipco 21 Jan - 20 Feb 22,APO2022020284,44612,C100008,321.5,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,471.03,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,KOE Tipco 21 Jan - 20 Feb 22,APO2022020287,44612,C100008,780.37,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,29.91,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,KOE Tipco 21 Jan - 20 Feb 22,APO2022020304,44612,C100008,3037,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,134.58,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,KOE Tipco 21 Jan - 20 Feb 22,APO2022020304,44612,C100008,58.88,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,29.91,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,Foremost Booth Production (Feb 22),APS2022020060,44613,C100008,1470,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,236.45,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,Cockpit Owner Leaflet  10 Locations,JV2022020019,44613,C100008,0,9775
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,469.16,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,Chaindrite Brand Activity,APS2022020088,44615,C100008,20000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,193.46,QT21110056.1,1010.0,นางสาว ทรงศรี จันทร์ธรรม, ,2021A54,นางสาว ทรงศรี จันทร์ธรรม,OF220100098,1010.0,20-01-22,,P&G New Year & 25 Year Virtual Meeting,APS2022020092,44615,C100008,6000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,3675.0,QT21110056.1,1407.0,คุณ วนิดา ฤทธิ์ช่วยรอด, ,2021A54,คุณ วนิดา ฤทธิ์ช่วยรอด,OF220100101,1407.0,26-01-22,,Alpro Booth Activity at Banyan Tree,APV2022020029,44615,C100008,215,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,175.7,QT21110056.1,1407.0,คุณ วนิดา ฤทธิ์ช่วยรอด, ,2021A54,คุณ วนิดา ฤทธิ์ช่วยรอด,OF220100101,1407.0,26-01-22,,Danone National Convention ,APV2022020030,44615,C100008,645,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,504.67,QT21110056.1,1407.0,คุณ วนิดา ฤทธิ์ช่วยรอด, ,2021A54,คุณ วนิดา ฤทธิ์ช่วยรอด,OF220100101,1407.0,26-01-22,,Danone Employee Card [100 units],APO2022020269,44616,C100008,266.36,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,542.06,QT21110056.1,1407.0,คุณ วนิดา ฤทธิ์ช่วยรอด, ,2021A54,คุณ วนิดา ฤทธิ์ช่วยรอด,OF220100101,1407.0,26-01-22,,Danone National Convention ,APS2022020110,44616,C100006,60000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,542.06,QT21110056.1,1407.0,คุณ วนิดา ฤทธิ์ช่วยรอด, ,2021A54,คุณ วนิดา ฤทธิ์ช่วยรอด,OF220100101,1407.0,26-01-22,,Cetaphil Baby Fair Feb 2022,APS2022020113,44616,C100006,5000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,336.45,QT21110056.1,1407.0,คุณ วนิดา ฤทธิ์ช่วยรอด, ,2021A54,คุณ วนิดา ฤทธิ์ช่วยรอด,OF220100101,1407.0,26-01-22,,Danone National Convention ,APS2022020118,44616,C100006,6127,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,347.66,QT21110056.1,1407.0,คุณ วนิดา ฤทธิ์ช่วยรอด, ,2021A54,คุณ วนิดา ฤทธิ์ช่วยรอด,OF220100101,1407.0,26-01-22,,Vixol Booth Caravan Roadshow (One Time Charge),APS2022020127,44616,C100008,480,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,134.58,QT21110056.1,1407.0,คุณ วนิดา ฤทธิ์ช่วยรอด, ,2021A54,คุณ วนิดา ฤทธิ์ช่วยรอด,OF220100101,1407.0,26-01-22,,Danone National Convention ,APS2022020131,44616,C100006,25240,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,504.67,QT21110056.1,1407.0,คุณ วนิดา ฤทธิ์ช่วยรอด, ,2021A54,คุณ วนิดา ฤทธิ์ช่วยรอด,OF220100101,1407.0,26-01-22,,Maybelline Logistic @ Watsons (Mar),APV2022020035,44616,C100008,480,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,2546.0,QT21110056.1,871.0,นางสาวจันจิรา วังศิริพิทักษ์, ,2021A54,นางสาวจันจิรา วังศิริพิทักษ์,OF220100099,871.0,20-01-22,,KOE Tipco 21 Feb -20 Mar 22,APO2022020432,44620,C100008,345.79,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,336.45,QT21110056.1,871.0,นางสาวจันจิรา วังศิริพิทักษ์, ,2021A54,นางสาวจันจิรา วังศิริพิทักษ์,OF220100099,871.0,20-01-22,,KOE Tipco 21 Feb -20 Mar 22,APO2022020434,44620,C100008,525,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,22.43,QT21110056.1,871.0,นางสาวจันจิรา วังศิริพิทักษ์, ,2021A54,นางสาวจันจิรา วังศิริพิทักษ์,OF220100099,871.0,20-01-22,,Singha Booth Activation on Feb 22,APS2022020153,44620,C100008,9200,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,93.46,QT21110056.1,871.0,นางสาวจันจิรา วังศิริพิทักษ์, ,2021A54,นางสาวจันจิรา วังศิริพิทักษ์,OF220100099,871.0,20-01-22,,Eucerin Logistic Hospital [Feb 2022],APV2022020037,44620,C100008,39,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,336.45,QT21110056.1,871.0,นางสาวจันจิรา วังศิริพิทักษ์, ,2021A54,นางสาวจันจิรา วังศิริพิทักษ์,OF220100099,871.0,20-01-22,,Eucerin Logistic Hospital [Feb 2022],APV2022020037,44620,C100008,752,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,23.36,QT21110056.1,871.0,นางสาวจันจิรา วังศิริพิทักษ์, ,2021A54,นางสาวจันจิรา วังศิริพิทักษ์,OF220100099,871.0,20-01-22,,Eucerin Meeting @W Hotel,APV2022020042,44620,C100008,19200,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,166.36,QT21110056.1,871.0,นางสาวจันจิรา วังศิริพิทักษ์, ,2021A54,นางสาวจันจิรา วังศิริพิทักษ์,OF220100099,871.0,20-01-22,,Cockpit FC Activity Support 3 Stores ( Feb 22),JV2022020059,44620,C100008,6600,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,336.45,QT21110056.1,871.0,นางสาวจันจิรา วังศิริพิทักษ์, ,2021A54,นางสาวจันจิรา วังศิริพิทักษ์,OF220100099,871.0,20-01-22,,Vixol Booth Caravan Roadshow (One Time Charge),JV2022020059,44620,C100008,6000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,11.21,QT21110056.1,871.0,นางสาวจันจิรา วังศิริพิทักษ์, ,2021A54,นางสาวจันจิรา วังศิริพิทักษ์,OF220100099,871.0,20-01-22,,Enfa_Nurse connection project (Krabi),APO2022030031,44621,C100008,2990,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,672.9,QT21110056.1,871.0,นางสาวจันจิรา วังศิริพิทักษ์, ,2021A54,นางสาวจันจิรา วังศิริพิทักษ์,OF220100099,871.0,20-01-22,,Eucerin Proacne @ Eve & Boy,APS2022030016,44634,C100006,45000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,4441.0,QT21110056.1,1404.0,คุณ ปวีณา เหมมันต์, ,2021A54,คุณ ปวีณา เหมมันต์,OF220100100,1404.0,20-01-22,,Eucerin Logistic Hospital [Mar 2022],APV2022030016,44637,C100008,600,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,307.48,QT21110056.1,1404.0,คุณ ปวีณา เหมมันต์, ,2021A54,คุณ ปวีณา เหมมันต์,OF220100100,1404.0,20-01-22,,Cockpit Owner-Activity Support 11 Stores (Feb),APS2022030050,44638,C100008,46500,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,14.95,QT21110056.1,1404.0,คุณ ปวีณา เหมมันต์, ,2021A54,คุณ ปวีณา เหมมันต์,OF220100100,1404.0,20-01-22,,Enfa_Nurse connection project (Chiang Mai),APV2022030015,44638,C100008,170,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,22.43,QT21110056.1,1404.0,คุณ ปวีณา เหมมันต์, ,2021A54,คุณ ปวีณา เหมมันต์,OF220100100,1404.0,20-01-22,,Cockpit Owner-Activity Support 11 Stores (Feb),JV2022030014,44638,C100008,0,46500
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,186.92,QT21110056.1,1404.0,คุณ ปวีณา เหมมันต์, ,2021A54,คุณ ปวีณา เหมมันต์,OF220100100,1404.0,20-01-22,,Bridgestone Logistic_เขาใหญ่,APV2022030022,44641,C100008,192,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,22.43,QT21110056.1,1404.0,คุณ ปวีณา เหมมันต์, ,2021A54,คุณ ปวีณา เหมมันต์,OF220100100,1404.0,20-01-22,,Cockpit FC Activity Support at CP. Songkla Garag and CP. Car Protector ,APS2022030067,44642,C100008,9000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,7275.0,QT21110056.1,870.0,นางสาวเกศินี  เขียวหล้า, ,2021A54,นางสาวเกศินี  เขียวหล้า,OF220100102,870.0,20-01-22,,Danone 6D - Design & Production,APS2022030065,44643,C100006,600,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,373.83,QT21110056.1,870.0,นางสาวเกศินี  เขียวหล้า, ,2021A54,นางสาวเกศินี  เขียวหล้า,OF220100102,870.0,20-01-22,,Hygiene Booth Caravan Roadshow March 2022,APS2022030135,44643,C100006,5200,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,373.83,QT21110056.1,870.0,นางสาวเกศินี  เขียวหล้า, ,2021A54,นางสาวเกศินี  เขียวหล้า,OF220100102,870.0,20-01-22,,KOE Tipco 21 Feb -20 Mar 22,APO2022030410,44647,C100008,542.06,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,328.97,QT21110056.1,870.0,นางสาวเกศินี  เขียวหล้า, ,2021A54,นางสาวเกศินี  เขียวหล้า,OF220100102,870.0,20-01-22,,KOE Tipco 21 Feb -20 Mar 22,APO2022030411,44647,C100008,2400,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,23.36,QT21110056.1,870.0,นางสาวเกศินี  เขียวหล้า, ,2021A54,นางสาวเกศินี  เขียวหล้า,OF220100102,870.0,20-01-22,,KOE Tipco 21 Feb -20 Mar 22,APO2022030412,44647,C100008,276.64,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,2068.0,QT21110056.1,1403.0,คุณ กฤษณา ประสมศรี, ,2021A54,คุณ กฤษณา ประสมศรี,OF220100104,1403.0,20-01-22,,KOE Tipco 21 Feb -20 Mar 22,APO2022030413,44647,C100008,4637,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,990.65,QT21110056.1,1403.0,คุณ กฤษณา ประสมศรี, ,2021A54,คุณ กฤษณา ประสมศรี,OF220100104,1403.0,20-01-22,,KOE Tipco 21 Feb -20 Mar 22,APO2022030625,44647,C100008,11.21,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,93.46,QT21110056.1,1403.0,คุณ กฤษณา ประสมศรี, ,2021A54,คุณ กฤษณา ประสมศรี,OF220100104,1403.0,20-01-22,,KOE Tipco 21 Feb -20 Mar 22,APO2022030628,44647,C100008,37,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,93.46,QT21110056.1,1403.0,คุณ กฤษณา ประสมศรี, ,2021A54,คุณ กฤษณา ประสมศรี,OF220100104,1403.0,20-01-22,,Enfa_Nurse connection project (Huahin),APO2022030770,44647,C100008,6765,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,121.5,QT21110056.1,1403.0,คุณ กฤษณา ประสมศรี, ,2021A54,คุณ กฤษณา ประสมศรี,OF220100104,1403.0,20-01-22,,Bridgestone Logistic_เขาใหญ่,APV2022030028,44647,C100008,200,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,93.46,QT21110056.1,1403.0,คุณ กฤษณา ประสมศรี, ,2021A54,คุณ กฤษณา ประสมศรี,OF220100104,1403.0,20-01-22,,Cockpit FC Activity Support at CP. วิริยะยางยนต์ (พยุหะคีรี),APS2022030151,44648,C100008,7000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,25.0,QT21110056.1,1406.0,คุณ วริศรา กิตติวรวุฒิ, ,2021A54,คุณ วริศรา กิตติวรวุฒิ,OF220100103,1406.0,20-01-22,,Enfa_Nurse connection project (Krabi),APS2022030171,44650,C100008,4000,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,771.03,QT21110056.1,1406.0,คุณ วริศรา กิตติวรวุฒิ, ,2021A54,คุณ วริศรา กิตติวรวุฒิ,OF220100103,1406.0,20-01-22,,Cockpit FC Activity Support at CP. วิริยะยางยนต์ (พยุหะคีรี),APS2022030177,44650,C100008,432,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,33.64,QT21110056.1,1406.0,คุณ วริศรา กิตติวรวุฒิ, ,2021A54,คุณ วริศรา กิตติวรวุฒิ,OF220100103,1406.0,20-01-22,,Enfa_Nurse connection project (Korat) Round2,APV2022030042,44650,C100008,90,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,280.38,QT21110056.1,1406.0,คุณ วริศรา กิตติวรวุฒิ, ,2021A54,คุณ วริศรา กิตติวรวุฒิ,OF220100103,1406.0,20-01-22,,KOE Tipco 21 Mar - 20 April 22,APO2022030696,44651,C100008,1146,0
5100001,ค่าผลิตและค่าอุปกรณ์,A5402021,6,129.91,QT21110056.1,1406.0,คุณ วริศรา กิตติวรวุฒิ, ,2021A54,คุณ วริศรา กิตติวรวุฒิ,OF220100103,1406.0,20-01-22,,KOE Tipco 21 Mar - 20 April 22,APO2022030705,44651,C100008,626.17,0
5100001,ค่าผลิตและค่าอุปกรณ์,5002022,8,4102.8,QT22010020,475.0,บริษัท แอดไวซ์ ไอที อินฟินิท  จำกัด (มหาชน),ค่า SPK ลำโพงล้อลาก พร้อมชุดไมค์ งาน Cockpit ส่งสินค้าวันที่ 19/1/2022,2022050,บริษัท แอดไวซ์ ไอที อินฟินิท  จำกัด (มหาชน),P/O : PO2022010015,475.0,17-02-22,อุปกรณ์-unit,KOE Tipco 21 Mar - 20 April 22,APO2022030769,44651,C100008,805,0
5100001,ค่าผลิตและค่าอุปกรณ์,A4702021,1,3200.0,QT21120027,943.0,น.ส.สุพิชญา คงแก้ว, ค่าบริการเครื่องหมุนรางวัล ส่งมอบงานวันที่ 22 Dec #JV2021120033,2021A47,น.ส.สุพิชญา คงแก้ว,WO2021120079,943.0,28-02-22,อุปกรณ์-unit,Enfa_Nurse connection project (Korat) Round1,APO2022030771,44651,C100008,559.81,0
5100001,ค่าผลิตและค่าอุปกรณ์,A0502021,1,5000.0,QT21110061,943.0,น.ส.สุพิชญา คงแก้ว, ค่าบริการเครื่องหมุนรางวัล ส่งมอบงานวันที่ 13/12/2021 #JV2021010033,2021A05,น.ส.สุพิชญา คงแก้ว,WO2021120020,943.0,28-02-22,อุปกรณ์-unit,Cockpit Owner-Car Parade + Standee at CP Bang Na KM. 6 (Mar 22),APS2022030202,44651,C100008,2550,0
5100001,ค่าผลิตและค่าอุปกรณ์,A0502021,1,4100.0,QT21110061,943.0,น.ส.สุพิชญา คงแก้ว, ค่าบริการเครื่องหมุนรางวัล ส่งมอบงานวันที่ 13/12/2021 #JV2021010033,2021A05,น.ส.สุพิชญา คงแก้ว,WO2021120020,943.0,28-02-22,อุปกรณ์-unit,Cockpit Owner-Activity Support at Lotus (Mar 22),JV2022030042,44651,C100008,9520,0
